Brand,Model,Year,Price_PKR,KM_Driven,Fuel_Type,Transmission,Engine_CC,City,Body_Type,Registered_In,Assembly,Color,Owner_Type,Ad_URL
Suzuki,Alto,2006,885000.0,295000.0,Petrol,Manual,1000.0,Lahore,Hatchback,Punjab,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2006-for-sale-in-lahore-11786626
Suzuki,Alto,2007,850000.0,231.0,Petrol,Manual,800.0,Karachi,Hatchback,Karachi,Local,Silver,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2007-for-sale-in-karachi-11786624
Suzuki,Alto,2025,2750000.0,29000.0,Petrol,Manual,660.0,Multan,Hatchback,Punjab,Local,White,First Owner,https://www.pakwheels.com/used-cars/suzuki-alto-2025-for-sale-in-multan-11786612
Suzuki,Alto,2006,747000.0,162000.0,Petrol,Manual,1000.0,Karachi,Hatchback,Sindh,Local,Unlisted,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2006-for-sale-in-karachi-11389601
Suzuki,Alto,2022,2740000.0,80000.0,Petrol,Automatic,660.0,Rawalpindi,Hatchback,Islamabad,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-rawalpindi-11786554
Suzuki,Alto,2009,1150000.0,343000.0,Petrol,Manual,1000.0,Sahiwal,Hatchback,Punjab,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2009-for-sale-in-sahiwal-11786550
Suzuki,Alto,2007,900000.0,117999.0,Petrol,Manual,1000.0,Karachi,Hatchback,Karachi,Local,Silver,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2007-for-sale-in-karachi-11786533
Suzuki,Alto,2021,2450000.0,430000.0,Petrol,Manual,660.0,Mirpur khas,Hatchback,Unknown,Unknown,Unknown,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-mirpur-khas-11786524
Suzuki,Alto,2016,1850000.0,173000.0,Petrol,Automatic,660.0,Karachi,Hatchback,Sindh,Imported,Silver,Second Owner or More,https://www.pakwheels.com/used-cars/suzuki-alto-2016-for-sale-in-karachi-11786521
Suzuki,Alto,2011,1685000.0,32900.0,CNG,Manual,1000.0,Islamabad,Hatchback,Islamabad,Local,Grey,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2011-for-sale-in-islamabad-11786455
Suzuki,Alto,2008,695000.0,28000.0,Petrol,Manual,1000.0,Karachi,Hatchback,Sindh,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2008-for-sale-in-karachi-11786475
Suzuki,Alto,2021,2800000.0,50000.0,Petrol,Automatic,660.0,Hyderabad,Hatchback,Sindh,Local,White,First Owner,https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-hyderabad-11786407
Suzuki,Alto,2022,2750000.0,62000.0,Petrol,Manual,1000.0,Lahore,Hatchback,Punjab,Local,Grey,First Owner,https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-lahore-11783580
Suzuki,Alto,2009,1100000.0,100000.0,Petrol,Manual,1000.0,Lahore,Hatchback,Abbottabad,Local,Grey,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2009-for-sale-in-lahore-11786397
Suzuki,Alto,2008,1325000.0,3000.0,Petrol,Automatic,1000.0,Karachi,Hatchback,Sindh,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2008-for-sale-in-karachi-11786388
